Source,Target,Weight
0,380,1.0
0,863,1.0
1,460,1.0
1,634,1.0
1,3812,1.0
1,4191,1.0
3,431,1.0
4,1225,1.0
4,1447,1.0
4,2083,1.0
5,672,1.0
5,759,1.0
5,801,1.0
5,948,1.0
5,1037,1.0
5,1237,1.0
5,1244,1.0
5,1396,1.0
5,1862,1.0
5,1865,1.0
5,1882,1.0
5,1901,1.0
5,1950,1.0
5,2075,1.0
5,2127,1.0
5,2557,1.0
5,2614,1.0
5,2697,1.0
5,2749,1.0
5,2840,1.0
5,2945,1.0
5,2946,1.0
5,3179,1.0
5,3628,1.0
5,3711,1.0
6,4071,1.0
8,3305,1.0
9,96,1.0
9,364,1.0
9,455,1.0
9,659,1.0
9,750,1.0
9,869,1.0
9,873,1.0
9,891,1.0
9,955,1.0
9,969,1.0
9,1379,1.0
9,1500,1.0
9,1562,1.0
9,1678,1.0
9,1838,1.0
9,2099,1.0
9,2568,1.0
9,2857,1.0
9,2976,1.0
9,2993,1.0
9,3070,1.0
9,3147,1.0
9,3227,1.0
9,3332,1.0
9,3413,1.0
9,4087,1.0
9,4308,1.0
10,476,1.0
10,571,1.0
10,722,1.0
10,745,1.0
10,751,1.0
10,777,1.0
10,809,1.0
10,832,1.0
10,954,1.0
10,966,1.0
10,970,1.0
10,975,1.0
10,1048,1.0
10,1250,1.0
10,1281,1.0
10,1359,1.0
10,1444,1.0
10,1600,1.0
10,1666,1.0
10,1858,1.0
10,1913,1.0
10,2002,1.0
10,2029,1.0
10,2116,1.0
10,2258,1.0
10,2487,1.0
10,2624,1.0
10,2676,1.0
10,2818,1.0
10,2828,1.0
10,2844,1.0
10,2981,1.0
10,3005,1.0
10,3038,1.0
10,3214,1.0
10,3282,1.0
10,3742,1.0
10,3764,1.0
10,3771,1.0
10,3803,1.0
10,3859,1.0
10,3874,1.0
10,3929,1.0
10,4041,1.0
10,4055,1.0
10,4197,1.0
10,4220,1.0
10,4251,1.0
11,42,1.0
11,45,1.0
11,59,1.0
11,82,1.0
11,191,1.0
11,258,1.0
11,282,1.0
11,311,1.0
11,423,1.0
11,448,1.0
11,480,1.0
11,486,1.0
11,607,1.0
11,610,1.0
11,639,1.0
11,669,1.0
11,876,1.0
11,890,1.0
11,915,1.0
11,951,1.0
11,958,1.0
11,978,1.0
11,1012,1.0
11,1015,1.0
11,1071,1.0
11,1149,1.0
11,1277,1.0
11,1308,1.0
11,1330,1.0
11,1333,1.0
11,1455,1.0
11,1542,1.0
11,1692,1.0
11,1747,1.0
11,1804,1.0
11,1848,1.0
11,1885,1.0
11,1976,1.0
11,1980,1.0
11,1984,1.0
11,2052,1.0
11,2068,1.0
11,2190,1.0
11,2216,1.0
11,2295,1.0
11,2356,1.0
11,2358,1.0
11,2377,1.0
11,2386,1.0
11,2419,1.0
11,2522,1.0
11,2706,1.0
11,2790,1.0
11,2889,1.0
11,2891,1.0
11,3047,1.0
11,3089,1.0
11,3107,1.0
11,3156,1.0
11,3262,1.0
11,3270,1.0
11,3295,1.0
11,3338,1.0
11,3477,1.0
11,3541,1.0
11,3598,1.0
11,3710,1.0
11,3712,1.0
11,3752,1.0
11,3816,1.0
11,3838,1.0
11,3855,1.0
11,3888,1.0
11,3898,1.0
11,3940,1.0
11,3942,1.0
11,3999,1.0
11,4028,1.0
11,4034,1.0
11,4046,1.0
11,4073,1.0
11,4096,1.0
11,4185,1.0
12,133,1.0
12,143,1.0
12,1170,1.0
12,2049,1.0
12,2771,1.0
12,2805,1.0
12,3024,1.0
12,4279,1.0
13,134,1.0
13,259,1.0
13,283,1.0
13,425,1.0
13,450,1.0
13,515,1.0
13,689,1.0
13,789,1.0
13,820,1.0
13,865,1.0
13,945,1.0
13,1053,1.0
13,1119,1.0
13,1269,1.0
13,1353,1.0
13,1543,1.0
13,1647,1.0
13,1697,1.0
13,1726,1.0
13,1795,1.0
13,1891,1.0
13,1908,1.0
13,1989,1.0
13,2012,1.0
13,2235,1.0
13,2457,1.0
13,2520,1.0
13,2623,1.0
13,2643,1.0
13,2827,1.0
13,2930,1.0
13,2988,1.0
13,3031,1.0
13,3065,1.0
13,3159,1.0
13,3357,1.0
13,3369,1.0
13,3551,1.0
13,3632,1.0
13,3734,1.0
13,3872,1.0
13,3875,1.0
13,3951,1.0
13,3987,1.0
13,4002,1.0
13,4026,1.0
13,4079,1.0
13,4295,1.0
13,4306,1.0
13,4320,1.0
14,98,1.0
14,120,1.0
14,136,1.0
14,243,1.0
14,564,1.0
14,619,1.0
14,644,1.0
14,673,1.0
14,757,1.0
14,1031,1.0
14,1137,1.0
14,1153,1.0
14,1183,1.0
14,1257,1.0
14,1523,1.0
14,1639,1.0
14,1805,1.0
14,1809,1.0
14,1873,1.0
14,1898,1.0
14,1939,1.0
14,1977,1.0
14,1979,1.0
14,2071,1.0
14,2158,1.0
14,2199,1.0
14,2227,1.0
14,2357,1.0
14,2822,1.0
14,2824,1.0
14,2937,1.0
14,2961,1.0
14,3009,1.0
14,3052,1.0
14,3235,1.0
14,3342,1.0
14,3363,1.0
14,3440,1.0
14,3481,1.0
14,3553,1.0
14,3667,1.0
14,3860,1.0
15,3090,1.0
15,3643,1.0
16,419,1.0
16,632,1.0
17,944,1.0
17,1769,1.0
18,3108,1.0
18,3445,1.0
18,3464,1.0
19,72,1.0
19,244,1.0
19,280,1.0
19,445,1.0
19,482,1.0
19,621,1.0
19,1340,1.0
19,1442,1.0
19,1514,1.0
19,1934,1.0
19,2108,1.0
19,2268,1.0
19,2398,1.0
19,2978,1.0
19,3168,1.0
19,3371,1.0
19,3639,1.0
19,3790,1.0
19,4059,1.0
19,4192,1.0
20,58,1.0
20,70,1.0
20,88,1.0
20,112,1.0
20,347,1.0
20,411,1.0
20,456,1.0
20,563,1.0
20,630,1.0
20,725,1.0
20,913,1.0
20,1092,1.0
20,1110,1.0
20,1130,1.0
20,1136,1.0
20,1152,1.0
20,1197,1.0
20,1217,1.0
20,1297,1.0
20,1321,1.0
20,1334,1.0
20,1362,1.0
20,1386,1.0
20,1404,1.0
20,1427,1.0
20,1522,1.0
20,1530,1.0
20,1567,1.0
20,1601,1.0
20,1636,1.0
20,1772,1.0
20,1875,1.0
20,2022,1.0
20,2132,1.0
20,2207,1.0
20,2242,1.0
20,2344,1.0
20,2627,1.0
20,2777,1.0
20,2866,1.0
20,3069,1.0
20,3195,1.0
20,3219,1.0
20,3231,1.0
20,3241,1.0
20,3246,1.0
20,3468,1.0
20,3526,1.0
20,3561,1.0
20,3589,1.0
20,3616,1.0
20,3678,1.0
20,3845,1.0
20,3897,1.0
20,4008,1.0
20,4067,1.0
20,4193,1.0
20,4230,1.0
21,3373,1.0
21,3517,1.0
22,1272,1.0
22,2140,1.0
22,2253,1.0
22,2337,1.0
22,3416,1.0
22,3425,1.0
22,4040,1.0
23,197,1.0
23,234,1.0
23,409,1.0
23,688,1.0
23,815,1.0
23,1206,1.0
