Source,Target,Weight
0,300,1
0,302,1
0,304,1
0,307,1
1,300,1
1,302,1
1,304,1
1,306,1
2,300,1
2,302,1
2,304,1
2,307,1
3,300,1
3,302,1
3,304,1
3,306,1
4,300,1
4,302,1
4,304,1
4,306,1
5,300,1
5,302,1
5,304,1
5,306,1
6,300,1
6,302,1
6,304,1
6,306,1
7,300,1
7,302,1
7,304,1
7,306,1
8,300,1
8,302,1
8,304,1
8,307,1
9,300,1
9,302,1
9,304,1
9,306,1
10,300,1
10,302,1
10,304,1
10,306,1
11,300,1
11,302,1
11,304,1
11,306,1
12,300,1
12,302,1
12,304,1
12,306,1
13,300,1
13,302,1
13,304,1
13,307,1
14,300,1
14,302,1
14,304,1
14,306,1
15,300,1
15,302,1
15,304,1
15,307,1
16,300,1
16,302,1
16,304,1
16,307,1
17,300,1
17,302,1
17,304,1
17,306,1
18,300,1
18,302,1
18,304,1
18,306,1
19,300,1
19,302,1
19,304,1
19,306,1
20,300,1
20,302,1
20,304,1
20,306,1
21,300,1
21,302,1
21,304,1
21,307,1
22,300,1
22,302,1
22,304,1
22,306,1
23,300,1
23,302,1
23,304,1
23,306,1
24,300,1
24,302,1
24,304,1
24,306,1
25,300,1
25,302,1
25,304,1
25,306,1
26,300,1
26,302,1
26,304,1
26,307,1
27,300,1
27,302,1
27,304,1
27,306,1
28,300,1
28,302,1
28,304,1
28,306,1
29,300,1
29,302,1
29,304,1
29,306,1
30,300,1
30,302,1
30,304,1
30,306,1
31,300,1
31,302,1
31,304,1
31,306,1
32,300,1
32,302,1
32,304,1
32,307,1
33,300,1
33,302,1
33,304,1
33,306,1
34,300,1
34,302,1
34,304,1
34,307,1
35,300,1
35,302,1
35,304,1
35,306,1
36,300,1
36,302,1
36,304,1
36,306,1
37,300,1
37,302,1
37,304,1
37,307,1
38,300,1
38,302,1
38,304,1
38,306,1
39,300,1
39,302,1
39,304,1
39,306,1
40,300,1
40,302,1
40,304,1
40,306,1
41,300,1
41,302,1
41,304,1
41,306,1
42,300,1
42,302,1
42,304,1
42,306,1
43,300,1
43,302,1
43,304,1
43,306,1
44,300,1
44,302,1
44,304,1
44,306,1
45,300,1
45,302,1
45,304,1
45,306,1
46,300,1
46,302,1
46,304,1
46,306,1
47,300,1
47,302,1
47,304,1
47,307,1
48,300,1
48,302,1
48,304,1
48,307,1
49,300,1
49,302,1
49,304,1
49,306,1
50,300,1
50,302,1
50,304,1
50,306,1
51,300,1
51,302,1
51,304,1
51,307,1
52,300,1
52,302,1
52,304,1
52,306,1
53,300,1
53,302,1
53,304,1
53,306,1
54,300,1
54,302,1
54,304,1
54,306,1
55,300,1
55,302,1
55,304,1
55,306,1
56,300,1
56,302,1
56,304,1
56,306,1
57,300,1
57,302,1
57,304,1
57,306,1
58,300,1
58,302,1
58,304,1
58,307,1
59,300,1
59,302,1
59,304,1
59,306,1
60,300,1
60,302,1
60,304,1
60,307,1
61,300,1
61,302,1
61,304,1
61,306,1
62,300,1
62,302,1
62,304,1
62,306,1
63,300,1
63,302,1
63,304,1
63,306,1
64,300,1
64,302,1
64,304,1
64,307,1
65,300,1
65,302,1
65,304,1
65,306,1
66,300,1
66,302,1
66,304,1
66,306,1
67,300,1
67,302,1
67,304,1
67,306,1
68,300,1
68,302,1
68,304,1
68,307,1
69,300,1
69,302,1
69,304,1
69,306,1
70,300,1
70,302,1
70,304,1
70,307,1
71,300,1
71,302,1
71,304,1
71,307,1
72,300,1
72,302,1
72,304,1
72,306,1
73,300,1
73,302,1
73,304,1
73,306,1
74,300,1
74,302,1
74,304,1
74,306,1
75,300,1
75,302,1
75,304,1
75,306,1
76,300,1
76,302,1
76,304,1
76,306,1
77,300,1
77,302,1
77,304,1
77,306,1
78,300,1
78,302,1
78,304,1
78,307,1
79,300,1
79,302,1
79,304,1
79,307,1
80,300,1
80,302,1
80,304,1
80,306,1
81,300,1
81,302,1
81,304,1
81,306,1
82,300,1
82,302,1
82,304,1
82,307,1
83,300,1
83,302,1
83,304,1
83,307,1
84,300,1
84,302,1
84,304,1
84,306,1
85,300,1
85,302,1
85,304,1
85,306,1
86,300,1
86,302,1
86,304,1
86,306,1
87,300,1
87,302,1
87,304,1
87,307,1
88,300,1
88,302,1
88,304,1
88,307,1
89,300,1
89,302,1
89,304,1
89,306,1
90,300,1
90,302,1
90,304,1
90,307,1
91,300,1
91,302,1
91,304,1
91,307,1
