Product,Obs
Alpha-Synuclein,Gene_Product_Malfunction_Associated_With_Disease
Amyloid Beta A4 Protein,Gene_Product_Malfunction_Associated_With_Disease
Apolipoprotein E4,Gene_Product_Malfunction_Associated_With_Disease
Apolipoprotein E,Gene_Product_Malfunction_Associated_With_Disease
Caspase-3,Gene_Product_Malfunction_Associated_With_Disease
Cathepsin B,Gene_Product_Malfunction_Associated_With_Disease
Clusterin,Gene_Product_Malfunction_Associated_With_Disease
Metallothionein-3,Gene_Product_Malfunction_Associated_With_Disease
Microtubule-Associated Protein Tau,Gene_Product_Malfunction_Associated_With_Disease
Phosphatidylinositol-Binding Clathrin Assembly Protein,Gene_Product_Malfunction_Associated_With_Disease
Presenilin-1,Gene_Product_Malfunction_Associated_With_Disease
Presenilin-2,Gene_Product_Malfunction_Associated_With_Disease
Zinc Finger FYVE Domain-Containing Protein 9,Gene_Product_Malfunction_Associated_With_Disease
